t,g,R,Q,P,Sn,SnPrime,anomaly
277,0,-0.10839638249974,0.14975339727598,0.166898577164745,-0.101373981505873,-0.00415821112170152,0
278,0,0.0530141073099599,0.187186615696634,0.17752154056183,-0.0483598741959126,-0.00333567812876778,0
279,0,0.00437014558261017,0.186897172404442,0.18608218665231,-0.0439897286133024,-0.00328953720929044,0
280,0,-0.112660588244482,0.107037989466739,0.119802481773497,-0.156650316857784,-0.0043567869878214,0
281,0,0.0385133115643361,0.190498289055782,0.183301053388158,-0.118137005293448,-0.00431081233919502,0
282,0,-0.0861491419770517,0.171878243283218,0.187341935691243,-0.2042861472705,-0.00492660015867576,0
283,0,-0.200642726760243,0.140934166797678,0.172248052908678,-0.404928874030743,-0.00644191957886891,0
284,0,0.0318637889864875,0.176019580176326,0.170499344282474,-0.373065085044255,-0.00792105494976376,0
285,0,-0.0544526640656864,0.189811230601778,0.20043353974549,-0.427517749109942,-0.0088919972967653,0
286,0,0.0342467951858323,0.195942047866532,0.189345264761523,-0.393270953924109,-0.0104243797741759,0
287,0,0.0851511193958625,0.199233437863182,0.182970707628707,-0.308119834528247,-0.0092159112877471,0
288,0,0.0900454135675772,0.186746725347035,0.170665905318319,-0.21807442096067,-0.00870290872419708,0
289,0,-0.102194780782779,0.117546138003152,0.130194007211188,-0.320269201743449,-0.00963770204718068,0
290,0,0.0531431976868244,0.198174533589828,0.187917855310628,-0.267126004056624,-0.00867316220569624,0
291,0,-0.336277544717931,0.0754572736556234,0.105619617831571,-0.603403548774555,-0.0136396666233932,0
292,0,-0.126856225856375,0.0598198859800288,0.0679107520313313,-0.730259774630931,-0.0145384690314471,0
293,0,-0.0505283177631854,0.0890088935806397,0.0936219262048141,-0.780788092394116,-0.0149020543153507,0
294,0,-0.127433851624408,0.140649467553445,0.159765098315617,-0.908221944018524,-0.0166079784076322,0
295,0,-0.108916351817449,0.176187050806673,0.196460731406834,-1.01713829583597,-0.0171524137758711,0
296,0,0.0885265991694848,0.189279424405586,0.173243437763902,-0.928611696666488,-0.0164740280634629,0
297,0,-0.13732666177155,0.132825686886103,0.152378004507353,-1.06593835843804,-0.0183139970465438,0
298,0,0.00646596980622904,0.183852074685448,0.18266712776565,-1.05947238863181,-0.0183272875090558,0
299,0,-0.00126661519896287,0.193837255454109,0.194082928221578,-1.06073900383077,-0.0179575561468011,0
300,0,-0.101055981693407,0.156825492675915,0.17350209204946,-1.16179498552418,-0.0184519930129822,0
301,0,0.0381984029693461,0.147956725321543,0.142411596472213,-1.12359658255483,-0.0185907375765385,0
302,0,-0.0104092047468807,0.192128420170785,0.1941387691491,-1.13400578730171,-0.0188744250536451,0
303,0,-0.0676442220625268,0.146616988093305,0.156877914058202,-1.20165000936424,-0.0194426234688231,0
304,0,-0.00775244142062936,0.176586951727062,0.177961251933911,-1.20940245078487,-0.0191747313170706,0
305,0,0.023642780023658,0.178021290746385,0.173861737982693,-1.18575967076121,-0.0184804071439532,0
306,0,-0.0871963951928252,0.182497608373738,0.199125138411408,-1.27295606595404,-0.0193004919525065,0
307,0,-0.0498409929563146,0.12630346642903,0.132758072481942,-1.32279705891035,-0.0198195938167836,0
308,0,-0.0595314484257672,0.192375689104951,0.204175848027529,-1.38232850733612,-0.02174547877421,0
309,0,0.0614710774202436,0.118512906582072,0.111447184106051,-1.32085742991588,-0.0205020004979637,0
310,0,0.126603813952785,0.142808172512773,0.125825806809382,-1.19425361596309,-0.0188672278642872,0
311,0,0.188991360832123,0.166951281411229,0.138201211965925,-1.00526225513097,-0.0175546700268415,0
312,0,0.247547322541231,0.0311688560835387,0.0243339396985347,-0.757714932589736,-0.014561027155813,0
313,0,-0.0901469430714952,0.185312935736883,0.202794445770668,-0.847861875661232,-0.0147294611215615,0
314,0,0.0487410998195681,0.16403046688203,0.156227157264462,-0.799120775841663,-0.0167957920987349,0
315,0,0.0444813041872076,0.184343957082324,0.176323793459766,-0.754639471654456,-0.016117672081718,0
316,0,0.0211706463189825,0.160159141576047,0.15680410845331,-0.733468825335473,-0.0148950590899929,0
317,0,0.0567876521694313,0.171416897231441,0.161953771394919,-0.676681173166042,-0.016261125060507,0
318,0,-0.0643319524602763,0.19512422344409,0.208089515791033,-0.741013125626318,-0.0163896496620511,0
319,0,-0.0294138143861029,0.137716743379682,0.141827680898991,-0.770426940012421,-0.0163638771791037,0
320,0,-0.0302762078709855,0.171164473531622,0.176425931304082,-0.800703147883407,-0.0161468442002445,0
321,0,0.318183373220459,0.085625098569661,0.0622896371788577,-0.482519774662948,-0.0136007639531042,0
322,0,0.0592280176398687,0.0830895757008057,0.0783112470778713,-0.423291757023079,-0.0160637820781151,0
323,0,-0.0365206641144278,0.138630580439176,0.143787046983873,-0.459812421137507,-0.0153305986347951,0
324,0,0.0225726031495701,0.19668920181466,0.192299148386184,-0.437239817987937,-0.0147322680395513,0
325,0,-0.0109794431404349,0.176296928388338,0.178243235622273,-0.448219261128372,-0.0142575991270148,0
326,0,0.0378587420663523,0.0829532473705917,0.0798714464112629,-0.410360519062019,-0.012520155703581,0
327,0,-0.0879208701448377,0.173832422994159,0.18980792106544,-0.498281389206857,-0.0124572032292374,0
328,0,-0.0114087588611089,0.184685210399599,0.186804304562396,-0.509690148067966,-0.0139618445034791,0
329,0,0.00487192104551548,0.193523587935896,0.192583049270442,-0.504818227022451,-0.0148300843848516,0
330,0,0.0201163784963785,0.174393503716589,0.170920388361006,-0.484701848526072,-0.0137186352652541,0
331,0,0.128371717928791,0.195736753138008,0.172155638438718,-0.356330130597281,-0.0130477788705306,0
332,0,0.0186686881700426,0.175814430609311,0.17256265347699,-0.337661442427239,-0.0133352266510819,0
333,0,0.101832136690243,0.184097337728468,0.166273245187133,-0.235829305736995,-0.011280259387494,0
334,0,-0.00764724817749807,0.197902210632624,0.199421419431913,-0.243476553914493,-0.0112333912167306,0
335,0.0216307753562071,0.2651073292707,0.103668084534918,0.0795262353268795,0.0216307753562071,-0.0103308330030004,0
